,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.019919300079345705,0.0034620284016194996,0.004299259185791016,0.001281218769383562,gini,3,1,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
1,0.014484643936157227,0.000768860668097312,0.002595806121826172,0.00013472144288729072,gini,3,1,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
2,0.013213348388671876,0.0007979477179479846,0.0029146671295166016,0.0002669341481544588,gini,3,1,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
3,0.013544940948486328,0.0007053949056539106,0.0029998779296875,0.0005243348441983099,gini,3,2,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
4,0.015667486190795898,0.002184117520124175,0.00302739143371582,0.00046474444810405013,gini,3,2,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
5,0.011905384063720704,0.0002489540453955697,0.00246429443359375,3.985057965407417e-05,gini,3,2,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
6,0.011785078048706054,0.0003894997677486038,0.002740907669067383,0.0002189044776978785,gini,3,4,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
7,0.012309646606445313,0.0003485054202663015,0.0025989532470703123,0.00012451134037680262,gini,3,4,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
8,0.01184239387512207,0.00031492636380386186,0.0025511264801025392,0.00013129348994064767,gini,3,4,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
9,0.0143798828125,0.0003487237185700639,0.002820920944213867,0.0002479517184509133,gini,5,1,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
10,0.014788389205932617,0.0009194027195094189,0.002985715866088867,0.00013897107911567543,gini,5,1,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
11,0.015779924392700196,0.00043195689367213585,0.0030402183532714845,0.0002679559925330977,gini,5,1,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
12,0.016292476654052736,0.0018601599584596644,0.004339265823364258,0.0019755252535814953,gini,5,2,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
13,0.018235540390014647,0.004817234781508827,0.003326129913330078,0.0007883540588833392,gini,5,2,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
14,0.01428236961364746,0.0004600698671807434,0.002708292007446289,5.938596665360241e-05,gini,5,2,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
15,0.014646053314208984,0.0004769969195713051,0.00260162353515625,3.417063118386357e-05,gini,5,4,2,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
16,0.014351797103881837,0.0006340304036112146,0.002739095687866211,0.00014543842875203725,gini,5,4,5,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
17,0.013931989669799805,0.0004436591935303363,0.002912425994873047,0.00016311348150966877,gini,5,4,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
18,0.01514897346496582,0.0007803737015266114,0.002721881866455078,7.485866531443995e-05,gini,7,1,2,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
19,0.015937614440917968,0.0006355309078487042,0.00305938720703125,0.0003056534366924027,gini,7,1,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
20,0.015321731567382812,0.0003169044471058716,0.002775764465332031,0.00014392716480178942,gini,7,1,10,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
21,0.015039682388305664,0.0004977976221177086,0.0028184890747070313,0.00015787973896120314,gini,7,2,2,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
22,0.015188312530517578,0.0004976033153454326,0.0027935028076171873,0.00016366273883241242,gini,7,2,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
23,0.014695167541503906,0.00034474746150490716,0.0027584075927734376,0.00010629283183949725,gini,7,2,10,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
24,0.014828014373779296,0.00037141168570677943,0.0027206897735595702,0.00012002660947113421,gini,7,4,2,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
25,0.014877605438232421,0.0003554491242707302,0.002925539016723633,0.00022068704719882065,gini,7,4,5,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
26,0.014598560333251954,0.00031484779427442774,0.0027360439300537108,0.00011164329227557381,gini,7,4,10,"{'criterion': 'gini', 'max_depth': 7, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.8221353383458646,0.8166015037593986,0.8199097744360903,0.8217035611164581,0.8205004812319538,0.8201701317779531,0.001955784499007169,1
